ident,name,latitude_deg,longitude_deg,iso_country,iata_code
ESGL,Lidköping-Hovby Airport,58.4654998779,13.1744003296,SE,LDK
ESGP,Gothenburg City Airport,57.7747001648,11.8704004288,SE,GSE
ESGR,Skövde Airport,58.456401825,13.972700119,SE,KVB
ESGT,Trollhättan-Vänersborg Airport,58.3180999756,12.345000267,SE,THN
ESKK,Karlskoga Airport,59.3459014893,14.4959001541,SE,KSK
ESKM,Mora Airport,60.957901001,14.5114002228,SE,MXX
ESKN,Stockholm Skavsta Airport,58.7886009216,16.9122009277,SE,NYO
ESMK,Kristianstad Airport,55.9216995239,14.0854997635,SE,KID
ESMO,Oskarshamn Airport,57.3504981995,16.4979991913,SE,OSK
ESMQ,Kalmar Airport,56.6855010986,16.2875995636,SE,KLR
ESMS,Malmö Sturup Airport,55.536305364,13.3761978149,SE,MMX
ESMT,Halmstad Airport,56.6911010742,12.8201999664,SE,HAD
ESMX,Växjö Kronoberg Airport,56.9291000366,14.7279996872,SE,VXO
ESND,Sveg Airport,62.0477981567,14.4229001999,SE,EVG
ESNG,Gällivare Airport,67.1324005127,20.8145999908,SE,GEV
ESNK,Kramfors Sollefteå Airport,63.0485992432,17.7688999176,SE,KRF
ESNL,Lycksele Airport,64.5483016968,18.7161998749,SE,LYC
ESNN,Sundsvall-Härnösand Airport,62.5280990601,17.4438991547,SE,SDL
ESNO,Örnsköldsvik Airport,63.4082984924,18.9899997711,SE,OER
ESNQ,Kiruna Airport,67.8219985962,20.3367996216,SE,KRN
ESNS,Skellefteå Airport,64.6248016357,21.0769004822,SE,SFT
ESNU,Umeå Airport,63.7918014526,20.2828006744,SE,UME
ESNV,Vilhelmina Airport,64.5791015625,16.8335990906,SE,VHM
ESNX,Arvidsjaur Airport,65.5903015137,19.2819004059,SE,AJR
ESNY,Söderhamn Airport,61.2615013123,17.0991001129,SE,SOO
ESNZ,Östersund Airport,63.1944007874,14.5003004074,SE,OSD
ESOE,Örebro Airport,59.2237014771,15.0380001068,SE,ORB
ESOH,Hagfors Airport,60.0200996399,13.5789003372,SE,HFS
ESOK,Karlstad Airport,59.4446983337,13.3374004364,SE,KSD
ESOW,Stockholm Västerås Airport,59.5894012451,16.633600235,SE,VST
ESPA,Luleå Airport,65.543800354,22.1219997406,SE,LLA
ESSA,Stockholm-Arlanda Airport,59.6519012451,17.9186000824,SE,ARN
ESSB,Stockholm-Bromma Airport,59.3544006348,17.9416999817,SE,BMA
ESSD,Borlange Airport,60.422000885,15.5151996613,SE,BLE
ESSF,Hultsfred Airport,57.5257987976,15.8233003616,SE,HLF
ESSK,Gävle Sandviken Airport,60.5932998657,16.9514007568,SE,GVX
ESSL,Linköping SAAB Airport,58.4062004089,15.6805000305,SE,LPI
ESSP,Norrköping Airport,58.5862998962,16.2506008148,SE,NRK
ESST,Torsby Airport,60.1576004028,12.9912996292,SE,TYF
ESSU,Eskilstuna Airport,59.3511009216,16.7084007263,SE,EKT
ESSV,Visby Airport,57.6627998352,18.346200943,SE,VBY
ESSW,Västervik Airport,57.7799987793,16.5235996246,SE,VVK
ESTA,Ängelholm-Helsingborg Airport,56.2961006165,12.8471002579,SE,AGH
ESUD,Storuman Airport,64.960899353,17.6965999603,SE,SQO
ESUE,Idre Airport,61.8697013855,12.6893997192,SE,IDB
ESUP,Pajala Airport,67.2455978394,23.0688991547,SE,PJA
ESUT,Hemavan Airport,65.806098938,15.0827999115,SE,HMV
ET-GLC,Geladi Airport,6.9844398499,46.4213981628,ET,GLC
ET-SHC,Shire Inda Selassie Airport,14.0781002045,38.2724990845,ET,SHC
ETAD,Spangdahlem Air Base,49.9726982117,6.6925001144,DE,SPM
ETAR,Ramstein Air Base,49.4369010925,7.600279808,DE,RMS
ETEJ,Bamberg-Breitenau Airport,49.9205551147,10.9141674042,DE,ZCD
ETHC,Celle Airport,52.5912017822,10.0221004486,DE,ZCN
ETHE,Rheine Bentlage Airport,52.2911987305,7.3870000839,DE,ZPQ
ETHF,Fritzlar Airport,51.1146,9.286,DE,FRZ
ETID,Hanau Army Air Field,50.1692008972,8.9615898132,DE,ZNF
ETMN,Nordholz Airport,53.7677001953,8.6584997177,DE,NDZ
ETNG,Geilenkirchen Airport,50.9608001709,6.0424199104,DE,GKE
ETNL,Rostock-Laage Airport,53.9182014465,12.2783002853,DE,RLG
ETNN,Norvenich Airport,50.831199646,6.6581702232,DE,QOE
ETNS,Schleswig Airport,54.4593009949,9.5163297653,DE,WBG
ETNU,Neubrandenburg Airport,53.6021995544,13.3059997559,DE,FNB
ETOU,Wiesbaden Army Airfield,50.0498008728,8.3254003525,DE,WIE
ETSF,Fürstenfeldbruck Airport,48.2055549622,11.2669439316,DE,FEL
ETSI,Ingolstadt Manching Airport,48.7156982422,11.5340003967,DE,IGS
ETUO,Gütersloh Airport,51.9227981567,8.3063297272,DE,GUT
ETUR,Brugge Air Base,51.1996994019,6.1320800781,DE,BGN
EVDA,Daugavpils Intrenational Airport,55.9447212219,26.6650009155,LV,DGP
EVLA,Liepāja International Airport,56.5175018311,21.0969009399,LV,LPX
EVRA,Riga International Airport,56.9235992432,23.9710998535,LV,RIX
EVVA,Ventspils International Airport,57.35779953,21.5442008972,LV,VNT
EXI,Excursion Inlet Seaplane Base,58.420501709,-135.449005127,US,EXI
EYKA,Kaunas International Airport,54.9639015198,24.0848007202,LT,KUN
EYKL,Klaipėda Airport,55.7118988037,21.2427997589,LT,KLJ
EYPA,Palanga International Airport,55.9732017517,21.0939006805,LT,PLQ
EYPP,Panevėžys Air Base,55.7294006348,24.4608001709,LT,PNV
EYSA,Šiauliai International Airport,55.893901825,23.3950004578,LT,SQQ
EYSB,Barysiai Airport,56.0705986023,23.5580997467,LT,HLJ
EYVI,Vilnius International Airport,54.6341018677,25.2858009338,LT,VNO
FAAB,Alexander Bay Airport,-28.5750007629,16.5333003998,ZA,ALJ
FAAG,Aggeneys Airport,-29.2817993164,18.8138999939,ZA,AGZ
FAAL,Alldays Airport,-22.6790008545,29.0555000305,ZA,ADY
FABE,Bisho Airport,-32.8970985413,27.2791004181,ZA,BIY
FABL,J B M Hertzog International Airport,-29.0926990509,26.302400589,ZA,BFN
FABU,Butterworth Airport,-32.3188018799,28.1373996735,ZA,UTE
FACD,Cradock Airport,-32.1567001343,25.6455993652,ZA,CDO
FACT,Cape Town International Airport,-33.9648017883,18.6016998291,ZA,CPT
FADK,Mubatuba Airport,-28.3684005737,32.2481002808,ZA,DUK
FADQ,Zulu Inyala Airport,-27.8493995667,32.3097000122,ZA,PZL
FAEL,Ben Schoeman Airport,-33.0355987549,27.8258991241,ZA,ELS
FAEM,Empangeni Airport,-28.7199993134,31.8899993896,ZA,EMG
FAER,Ellisras Matimba Airport,-23.7266998291,27.6882991791,ZA,ELL
FAFB,Ficksburg Sentraoes Airport,-28.8230991364,27.9088993073,ZA,FCB
FAGC,Grand Central Airport,-25.9862995148,28.1401004791,ZA,GCJ
FAGG,George Airport,-34.0055999756,22.378900528,ZA,GRJ
FAGI,Giyani Airport,-23.2833003998,30.6499996185,ZA,GIY
FAGM,Rand Airport,-26.2425003052,28.1511993408,ZA,QRA
FAHL,Hluhluwe Airport,-28.0166049887,32.2751712799,ZA,HLW
FAHR,Harrismith Airport,-28.2350997925,29.1061992645,ZA,HRS
FAHS,Hoedspruit Air Force Base Airport,-24.3686008453,31.0487003326,ZA,HDS
FAJS,OR Tambo International Airport,-26.1392002106,28.2460002899,ZA,JNB
FAKD,P C Pelser Airport,-26.871099472,26.718000412,ZA,KXE
FAKM,Kimberley Airport,-28.8027992249,24.7651996613,ZA,KIM
FAKN,Kruger Mpumalanga International Airport,-25.3831996918,31.1056003571,ZA,MQP
